asset_id,period,forecast_time,predicted_close
aaaaaaaa-0000-0000-0000-000000000001,1,2024-03-31T00:00:00+00:00,36362.970667
aaaaaaaa-0000-0000-0000-000000000001,2,2024-04-01T00:00:00+00:00,36409.444615
aaaaaaaa-0000-0000-0000-000000000001,3,2024-04-02T00:00:00+00:00,36455.918564
aaaaaaaa-0000-0000-0000-000000000001,4,2024-04-03T00:00:00+00:00,36502.392512
aaaaaaaa-0000-0000-0000-000000000001,5,2024-04-04T00:00:00+00:00,36548.86646
aaaaaaaa-0000-0000-0000-000000000001,6,2024-04-05T00:00:00+00:00,36595.340408
aaaaaaaa-0000-0000-0000-000000000001,7,2024-04-06T00:00:00+00:00,36641.814357
aaaaaaaa-0000-0000-0000-000000000002,1,2024-03-31T00:00:00+00:00,193.696969
aaaaaaaa-0000-0000-0000-000000000002,2,2024-04-01T00:00:00+00:00,194.128515
aaaaaaaa-0000-0000-0000-000000000002,3,2024-04-02T00:00:00+00:00,194.56006
aaaaaaaa-0000-0000-0000-000000000002,4,2024-04-03T00:00:00+00:00,194.991605
aaaaaaaa-0000-0000-0000-000000000002,5,2024-04-04T00:00:00+00:00,195.423151
aaaaaaaa-0000-0000-0000-000000000002,6,2024-04-05T00:00:00+00:00,195.854696
aaaaaaaa-0000-0000-0000-000000000002,7,2024-04-06T00:00:00+00:00,196.286241
